provider_id,latitude,longitude
PR001,40.40655,-86.8321528
PR002,40.7344392,-86.77769099999999
PR003,40.2765035,-86.4970488
PR004,39.9164485,-86.1557417
PR005,39.7805894,-86.3405844
PR006,39.7775523,-86.1837364
PR007,39.79052859999999,-86.16338739999999
PR008,39.7756075,-86.1761174
PR009,39.9868449,-85.929307
PR010,39.6379321,-86.1593584
PR011,40.2247576,-85.4507319
PR012,39.2893255,-86.7867983
PR013,39.9075207,-85.3861367
PR014,39.1606644,-86.55537140000001
PR015,38.8599541,-86.51307659999999
PR016,38.56829949999999,-86.47532799999999
